title,year,plot,genres,combined_rating,imdb_id,vote_count,director,stars,genres_list,genres_clean,director_list,director_clean,stars_list,stars_clean,plot_clean,content_features
Kuch Kuch Hota Hai,2000.5,"Rahul Khanna and Anjali Sharma were best friends at college. Anjali realizes that she has fallen in love with Rahul but she's too late because Rahul has already fallen for Tina Malhotra. Heartbroken, Anjali leaves the city. Tina and Rahul get married and soon Tina becomes pregnant, giving birth to a daughter which they call Anjali. Due to complications during pregnancy, Tina passes away. Anjali is brought up by her father, and each year on her birthday he allows his daughter to read one of her mother's letters. Through these letters she learns that her mother (Tina) knew that another Anjali was in love with Rahul, and vows to bring them together again.",['Bollywood Movies'],7.5,tt0172684,59432.0,[],[],['Bollywood Movies'],Bollywood Movies,[],,[],,"Rahul Khanna and Anjali Sharma were best friends at college. Anjali realizes that she has fallen in love with Rahul but she's too late because Rahul has already fallen for Tina Malhotra. Heartbroken, Anjali leaves the city. Tina and Rahul get married and soon Tina becomes pregnant, giving birth to a daughter which they call Anjali. Due to complications during pregnancy, Tina passes away. Anjali is brought up by her father, and each year on her birthday he allows his daughter to read one of her mother's letters. Through these letters she learns that her mother (Tina) knew that another Anjali was in love with Rahul, and vows to bring them together again.","Rahul Khanna and Anjali Sharma were best friends at college. Anjali realizes that she has fallen in love with Rahul but she's too late because Rahul has already fallen for Tina Malhotra. Heartbroken, Anjali leaves the city. Tina and Rahul get married and soon Tina becomes pregnant, giving birth to a daughter which they call Anjali. Due to complications during pregnancy, Tina passes away. Anjali is brought up by her father, and each year on her birthday he allows his daughter to read one of her mother's letters. Through these letters she learns that her mother (Tina) knew that another Anjali was in love with Rahul, and vows to bring them together again. Bollywood Movies  "
Dilwale,2000.5,"दिलवाले 1994 की हैरी बवेजा द्वारा निर्देशित हिन्दी भाषा की प्रेमकहानी फ़िल्म है। मुख्य कलाकार अजय देवगन, सुनील शेट्टी, परेश रावल और रवीना टंडन हैं। दिलवाले 1994 की सबसे ज्यादा कमाई करने वाली भारतीय फिल्मों में से एक बनी थी।  संक्षेप यह फिल्म पागलखाने में शुरू होती है, जहां डॉक्टर अरुण सक्सेना  के अजीब मामले पर चर्चा करते हैं। उसका व्यवहार अन्य सभी मानसिक रोगियों से बहुत अलग है। अरुण अस्पताल से भागने की कोशिश करता है, लेकिन डॉक्टरों द्वारा उसे बंद कर दिया जाता है। अरुण की मां  हर रोज मंदिर के सामने बैठती है। इंस्पेक्टर विक्रम सिंह  एक कठोर युवा ईमानदार पुलिसवाला है जिसे अरुण का मामला सौंपा गया है। वह अरुण की मां के पास जाता है जहां कहानी अतीत में जाती है: अरुण एक खुश उत्साही युवा व्यक्ति था जो हमेशा अपने जीवन में उत्साहित था। अपने कॉलेज के मित्र की जन्मदिन पार्टी में भाग लेने के दौरान, जब वह सपना  को देखता है तो वह प्यार से मारा जाता है।  मुख्य कलाकार सपना के मामा ठाकुर  पिछले 20 सालों से एक मुखौटा धारण कर रखे हैं क्योंकि उनके छिपे मकसद में सपना की संपत्ति का उपयोग करना है। पहली बार सपना सोचती हैं कि अरुण एक इश्कबाज है, लेकिन बाद में वो अपना प्यार कबूल करती है। ज्योति  को इस पर ईर्ष्या होती है। वो अरुण को किसी भी कीमत पर चाहती है। ज्योति की हत्या कर दी जाती है। उसके साथ परिचित होने के कारण अरुण को दोषी माना जाता है। सपना उससे नफरत करना शुरू कर देती है। अरुण इस सदमे को नहीं झेल पाता और पागल हो जाता है।  संगीत विक्रम अरुण की मां से वादा करता है कि वह अरुण के न्याय के लिए लड़ेगा। विक्रम धीरे-धीरे मामा ठाकुर की अवैध गतिविधियों के लिए काँटा बन गया। उसने अरुण को अपने घर में आवास देकर रक्षा करना शुरू किया क्योंकि उसका जीवन खतरे में है। बाद में, विक्रम को पता चला कि वह लड़की जिसे वह प्यार करता था वास्तव में सपना है। अब विक्रम को अरुण को उसके प्यार से दोबारा जोड़ना है। वह हवलदार राम सिंह  से सपना के सामने सच्चाई उगलवाता है क्योंकि वह मौजूद था जब अरुण की मां और उसे यातना दी गई थी, लेकिन वह मामा ठाकुर के डर के कारण असहाय था। सपना ने अपनी गलती महसूस की।  बाहरी कड़ियाँ",['Bollywood Movies'],5.1,tt4535650,40316.0,[],[],['Bollywood Movies'],Bollywood Movies,[],,[],,"दिलवाले 1994 की हैरी बवेजा द्वारा निर्देशित हिन्दी भाषा की प्रेमकहानी फ़िल्म है। मुख्य कलाकार अजय देवगन, सुनील शेट्टी, परेश रावल और रवीना टंडन हैं। दिलवाले 1994 की सबसे ज्यादा कमाई करने वाली भारतीय फिल्मों में से एक बनी थी। संक्षेप यह फिल्म पागलखाने में शुरू होती है, जहां डॉक्टर अरुण सक्सेना के अजीब मामले पर चर्चा करते हैं। उसका व्यवहार अन्य सभी मानसिक रोगियों से बहुत अलग है। अरुण अस्पताल से भागने की कोशिश करता है, लेकिन डॉक्टरों द्वारा उसे बंद कर दिया जाता है। अरुण की मां हर रोज मंदिर के सामने बैठती है। इंस्पेक्टर विक्रम सिंह एक कठोर युवा ईमानदार पुलिसवाला है जिसे अरुण का मामला सौंपा गया है। वह अरुण की मां के पास जाता है जहां कहानी अतीत में जाती है: अरुण एक खुश उत्साही युवा व्यक्ति था जो हमेशा अपने जीवन में उत्साहित था। अपने कॉलेज के मित्र की जन्मदिन पार्टी में भाग लेने के दौरान, जब वह सपना को देखता है तो वह प्यार से मारा जाता है। मुख्य कलाकार सपना के मामा ठाकुर पिछले 20 सालों से एक मुखौटा धारण कर रखे हैं क्योंकि उनके छिपे मकसद में सपना की संपत्ति का उपयोग करना है। पहली बार सपना सोचती हैं कि अरुण एक इश्कबाज है, लेकिन बाद में वो अपना प्यार कबूल करती है। ज्योति को इस पर ईर्ष्या होती है। वो अरुण को किसी भी कीमत पर चाहती है। ज्योति की हत्या कर दी जाती है। उसके साथ परिचित होने के कारण अरुण को दोषी माना जाता है। सपना उससे नफरत करना शुरू कर देती है। अरुण इस सदमे को नहीं झेल पाता और पागल हो जाता है। संगीत विक्रम अरुण की मां से वादा करता है कि वह अरुण के न्याय के लिए लड़ेगा। विक्रम धीरे-धीरे मामा ठाकुर की अवैध गतिविधियों के लिए काँटा बन गया। उसने अरुण को अपने घर में आवास देकर रक्षा करना शुरू किया क्योंकि उसका जीवन खतरे में है। बाद में, विक्रम को पता चला कि वह लड़की जिसे वह प्यार करता था वास्तव में सपना है। अब विक्रम को अरुण को उसके प्यार से दोबारा जोड़ना है। वह हवलदार राम सिंह से सपना के सामने सच्चाई उगलवाता है क्योंकि वह मौजूद था जब अरुण की मां और उसे यातना दी गई थी, लेकिन वह मामा ठाकुर के डर के कारण असहाय था। सपना ने अपनी गलती महसूस की। बाहरी कड़ियाँ","दिलवाले 1994 की हैरी बवेजा द्वारा निर्देशित हिन्दी भाषा की प्रेमकहानी फ़िल्म है। मुख्य कलाकार अजय देवगन, सुनील शेट्टी, परेश रावल और रवीना टंडन हैं। दिलवाले 1994 की सबसे ज्यादा कमाई करने वाली भारतीय फिल्मों में से एक बनी थी। संक्षेप यह फिल्म पागलखाने में शुरू होती है, जहां डॉक्टर अरुण सक्सेना के अजीब मामले पर चर्चा करते हैं। उसका व्यवहार अन्य सभी मानसिक रोगियों से बहुत अलग है। अरुण अस्पताल से भागने की कोशिश करता है, लेकिन डॉक्टरों द्वारा उसे बंद कर दिया जाता है। अरुण की मां हर रोज मंदिर के सामने बैठती है। इंस्पेक्टर विक्रम सिंह एक कठोर युवा ईमानदार पुलिसवाला है जिसे अरुण का मामला सौंपा गया है। वह अरुण की मां के पास जाता है जहां कहानी अतीत में जाती है: अरुण एक खुश उत्साही युवा व्यक्ति था जो हमेशा अपने जीवन में उत्साहित था। अपने कॉलेज के मित्र की जन्मदिन पार्टी में भाग लेने के दौरान, जब वह सपना को देखता है तो वह प्यार से मारा जाता है। मुख्य कलाकार सपना के मामा ठाकुर पिछले 20 सालों से एक मुखौटा धारण कर रखे हैं क्योंकि उनके छिपे मकसद में सपना की संपत्ति का उपयोग करना है। पहली बार सपना सोचती हैं कि अरुण एक इश्कबाज है, लेकिन बाद में वो अपना प्यार कबूल करती है। ज्योति को इस पर ईर्ष्या होती है। वो अरुण को किसी भी कीमत पर चाहती है। ज्योति की हत्या कर दी जाती है। उसके साथ परिचित होने के कारण अरुण को दोषी माना जाता है। सपना उससे नफरत करना शुरू कर देती है। अरुण इस सदमे को नहीं झेल पाता और पागल हो जाता है। संगीत विक्रम अरुण की मां से वादा करता है कि वह अरुण के न्याय के लिए लड़ेगा। विक्रम धीरे-धीरे मामा ठाकुर की अवैध गतिविधियों के लिए काँटा बन गया। उसने अरुण को अपने घर में आवास देकर रक्षा करना शुरू किया क्योंकि उसका जीवन खतरे में है। बाद में, विक्रम को पता चला कि वह लड़की जिसे वह प्यार करता था वास्तव में सपना है। अब विक्रम को अरुण को उसके प्यार से दोबारा जोड़ना है। वह हवलदार राम सिंह से सपना के सामने सच्चाई उगलवाता है क्योंकि वह मौजूद था जब अरुण की मां और उसे यातना दी गई थी, लेकिन वह मामा ठाकुर के डर के कारण असहाय था। सपना ने अपनी गलती महसूस की। बाहरी कड़ियाँ Bollywood Movies  "
Lust Stories,2000.5,"Four short films by four of India's biggest directors exploring love, sex and relationships in modern India.",['Bollywood Movies'],6.4,tt8439854,13644.0,[],[],['Bollywood Movies'],Bollywood Movies,[],,[],,"Four short films by four of India's biggest directors exploring love, sex and relationships in modern India.","Four short films by four of India's biggest directors exploring love, sex and relationships in modern India. Bollywood Movies  "
Guru,2000.5,"A school-teacher in India sires a son named Gurukant, but is disappointed as the child fails to live up to his high expectations. When Gurukant grows up, he is unable to secure decent employment in India, so finds a way to go to Turkey, where he finds employment. When he returns back to India, he wants to start his own business, but is unable to do so, as he does not have enough money. So he does some research, gets to meet Sujata, the daughter of a wealthy man named Jignesh, and marries her. After the marriage, Gurukant finds out that Sujata has a dark past, but he ignores this - for his one motive is to be to rise in the eyes of his father - and get rich.",['Bollywood Movies'],3.8,tt0811138,55990.0,[],[],['Bollywood Movies'],Bollywood Movies,[],,[],,"A school-teacher in India sires a son named Gurukant, but is disappointed as the child fails to live up to his high expectations. When Gurukant grows up, he is unable to secure decent employment in India, so finds a way to go to Turkey, where he finds employment. When he returns back to India, he wants to start his own business, but is unable to do so, as he does not have enough money. So he does some research, gets to meet Sujata, the daughter of a wealthy man named Jignesh, and marries her. After the marriage, Gurukant finds out that Sujata has a dark past, but he ignores this - for his one motive is to be to rise in the eyes of his father - and get rich.","A school-teacher in India sires a son named Gurukant, but is disappointed as the child fails to live up to his high expectations. When Gurukant grows up, he is unable to secure decent employment in India, so finds a way to go to Turkey, where he finds employment. When he returns back to India, he wants to start his own business, but is unable to do so, as he does not have enough money. So he does some research, gets to meet Sujata, the daughter of a wealthy man named Jignesh, and marries her. After the marriage, Gurukant finds out that Sujata has a dark past, but he ignores this - for his one motive is to be to rise in the eyes of his father - and get rich. Bollywood Movies  "
Thunivu,2023,A mysterious mastermind - Daredevil and his team forms a plan and commits bank heist to find the corporate looted people's money.,['Action Crime Movies'],6.1,tt15163652,30276.0,[],[],['Action Crime Movies'],Action Crime Movies,[],,[],,A mysterious mastermind - Daredevil and his team forms a plan and commits bank heist to find the corporate looted people's money.,A mysterious mastermind - Daredevil and his team forms a plan and commits bank heist to find the corporate looted people's money. Action Crime Movies  
Extraction,2020,"In an underworld of weapons dealers and traffickers, a young boy becomes the pawn in a war between notorious drug lords. Trapped by kidnappers inside one of the world's most impenetrable cities, his rescue beckons the unparalleled skill of a mercenary named Tyler Rake, but Rake is a broken man with nothing to lose, harboring a death wish that makes an already deadly mission near impossible.",['Action Movies Based on Books'],6.8,tt8936646,277238.0,[],[],['Action Movies Based on Books'],Action Movies Based on Books,[],,[],,"In an underworld of weapons dealers and traffickers, a young boy becomes the pawn in a war between notorious drug lords. Trapped by kidnappers inside one of the world's most impenetrable cities, his rescue beckons the unparalleled skill of a mercenary named Tyler Rake, but Rake is a broken man with nothing to lose, harboring a death wish that makes an already deadly mission near impossible.","In an underworld of weapons dealers and traffickers, a young boy becomes the pawn in a war between notorious drug lords. Trapped by kidnappers inside one of the world's most impenetrable cities, his rescue beckons the unparalleled skill of a mercenary named Tyler Rake, but Rake is a broken man with nothing to lose, harboring a death wish that makes an already deadly mission near impossible. Action Movies Based on Books  "
Raw,2022,a woman's everyday life changes forever.,['Action'],6.9,tt4954522,93196.0,[],[],['Action'],Action,[],,[],,a woman's everyday life changes forever.,a woman's everyday life changes forever. Action  
Kuttey,2023,"One rainy night in the outskirts of Mumbai, three stray gangs unknowingly cross paths on the hunt for a van carrying crores of cash and it's every man for himself. A complex maze of subplots with greed as the Common motive leads to a tense often hilarious chain of events.",['Action'],5.4,tt15281704,11050.0,[],[],['Action'],Action,[],,[],,"One rainy night in the outskirts of Mumbai, three stray gangs unknowingly cross paths on the hunt for a van carrying crores of cash and it's every man for himself. A complex maze of subplots with greed as the Common motive leads to a tense often hilarious chain of events.","One rainy night in the outskirts of Mumbai, three stray gangs unknowingly cross paths on the hunt for a van carrying crores of cash and it's every man for himself. A complex maze of subplots with greed as the Common motive leads to a tense often hilarious chain of events. Action  "
Red Notice,2021,"When an Interpol-issued Red Notice the highest level warrant to hunt and capture the world's most wanted goes out, the FBI's top profiler John Hartley (Dwayne Johnson) is on the case. His global pursuit finds him smack dab in the middle of a daring heist where he's forced to partner with the world's greatest art thief Nolan Booth (Ryan Reynolds) in order to catch the world's most wanted art thief, ""The Bishop"" (Gal Gadot). The high-flying adventure that ensues takes the trio around the world, across the dance floor, trapped in a secluded prison, into the jungle and, worst of all for them, constantly into each other's company.",['Action US Movies'],6.3,tt7991608,338426.0,[],[],['Action US Movies'],Action US Movies,[],,[],,"When an Interpol-issued Red Notice the highest level warrant to hunt and capture the world's most wanted goes out, the FBI's top profiler John Hartley (Dwayne Johnson) is on the case. His global pursuit finds him smack dab in the middle of a daring heist where he's forced to partner with the world's greatest art thief Nolan Booth (Ryan Reynolds) in order to catch the world's most wanted art thief, ""The Bishop"" (Gal Gadot). The high-flying adventure that ensues takes the trio around the world, across the dance floor, trapped in a secluded prison, into the jungle and, worst of all for them, constantly into each other's company.","When an Interpol-issued Red Notice the highest level warrant to hunt and capture the world's most wanted goes out, the FBI's top profiler John Hartley (Dwayne Johnson) is on the case. His global pursuit finds him smack dab in the middle of a daring heist where he's forced to partner with the world's greatest art thief Nolan Booth (Ryan Reynolds) in order to catch the world's most wanted art thief, ""The Bishop"" (Gal Gadot). The high-flying adventure that ensues takes the trio around the world, across the dance floor, trapped in a secluded prison, into the jungle and, worst of all for them, constantly into each other's company. Action US Movies  "
Johnny English Reborn,2011,"Five years after the events of the first film, Johnny English has been training at a monastery in Tibet to recover from the shame of a failed mission to protect the newly elected president in Mozambique, which cost him his knighthood. Called back into service by MI7 under new director Pamela ""Pegasus"" Thornton, English must investigate an assassination plot of the Chinese Premier during talks with the Prime Minister of the United Kingdom. He meets fellow agent Simon Ambrose, MI7's quartermaster Patch Quartermain, and junior agent Colin Tucker, assigned to be his assistant. In Hong Kong, English finds former CIA agent Titus Fisher, a member of Vortex, the group responsible for sabotaging English's Mozambique mission. Vortex holds a secret weapon unlocked by three keys, held by himself and two others. Fisher is killed by an elderly assassin disguised as a cleaner, and an accomplice steals his key. English chases the thief and recovers the key, only for it to be stolen by a fake flight attendant en route to London. He is humiliated in a meeting with the Foreign Secretary and Pegasus when he attempts to present the key and the conspiracy. He compounds his disgrace by mistakenly attacking Pegasus’s mother twice at a children's party after encountering the Killer Cleaner. Kate Sumner, MI7's resident behavioral psychologist, uses hypnosis to help English recall his suppressed memory of the Mozambique incident, revealing that another Vortex operative, former Russian KGB and renegade MI7 associate spy Artem Karlenko, is posing as millionaire Sergei Pudovkin. English and Tucker meet Karlenko at a golf course outside London, but the Killer Cleaner critically injures him during their game. English and Tucker bring Karlenko to a hospital by helicopter, but he dies after revealing the third key is held by a mole in MI7. Over dinner, English confides with Ambrose about the mole, and Ambrose tells him that he suspects Quartermain. In the restaurant's toilets, Tucker confronts Ambrose about him being the traitor, but English naively dismisses Tucker, letting Ambrose go with Karlenko's key. English confronts Quartermain at a church, but realizes that he has been framed as the third Vortex member. Chased by MI7 agents, English manages to escape to Sumner's flat, after stealing Quartermain's heavily modified wheelchair. Reviewing footage of the Mozambique mission, Sumner sees that the assassin was manipulated by a supposedly-destroyed mind control drug, Timoxeline Barbebutenol. Ambrose comes to pick her up, and English realizes that he is the mole and third member of Vortex. Evading the Killer Cleaner by jumping down a rubbish chute, English goes to the flat where Tucker lives with his mother; English apologizes to Tucker and persuades him to join in infiltrating Le Bastion, a nigh-impregnable fortress in the Swiss Alps where the talks are to be held. At the fortress, English accidentally activates a distress beacon, alerting the guards to their presence. He commands Tucker to knock him out and put him inside a body bag, so that they will be taken into the fortress. Inside, English manages to escape the body bag and warns Pegasus of the threat, but accidentally consumes a drink spiked with the drug, and subdues Pegasus on Ambrose's command. Assigning English as the Prime Minister's bodyguard in place of Pegasus, Ambrose orders him to assassinate the Chinese Premier using a pistol disguised as lipstick, initially designed for Pegasus; thanks to his monastic training, English tries to resist the drug. Tucker interrupts Ambrose's communication feed with music before Ambrose resets it, exposing himself as the traitor. English resists again and shoots Ambrose, who escapes, while the drug enters its lethal stage and English loses consciousness. Sumner arrives and revives English with a passionate kiss. English pursues Ambrose down the mountainside, and they engage in a fistfight in a cable car. English overpowers Ambrose, but falls out of the carriage. Ambrose shoots at him, who tries to use his spy umbrella as a bulletproof shield, which is actually a missile launcher when he closes it. The missile destroys the carriage, killing Ambrose. Vortex is shut down and English has his knighthood reinstated by Her Majesty the Queen. During the ceremony, the Killer Cleaner, disguised as the Queen, attacks English with the knighting sword before fleeing, leading English to restrain the real Queen. He only realises his mistake when the assassin is caught by the royal guards and police. During the credits, English prepares dinner for Sumner to the tune of ""In the Hall of the Mountain King"".",['Comedies'],6.3,tt1634122,145250.0,[],[],['Comedies'],Comedies,[],,[],,"Five years after the events of the first film, Johnny English has been training at a monastery in Tibet to recover from the shame of a failed mission to protect the newly elected president in Mozambique, which cost him his knighthood. Called back into service by MI7 under new director Pamela ""Pegasus"" Thornton, English must investigate an assassination plot of the Chinese Premier during talks with the Prime Minister of the United Kingdom. He meets fellow agent Simon Ambrose, MI7's quartermaster Patch Quartermain, and junior agent Colin Tucker, assigned to be his assistant. In Hong Kong, English finds former CIA agent Titus Fisher, a member of Vortex, the group responsible for sabotaging English's Mozambique mission. Vortex holds a secret weapon unlocked by three keys, held by himself and two others. Fisher is killed by an elderly assassin disguised as a cleaner, and an accomplice steals his key. English chases the thief and recovers the key, only for it to be stolen by a fake flight attendant en route to London. He is humiliated in a meeting with the Foreign Secretary and Pegasus when he attempts to present the key and the conspiracy. He compounds his disgrace by mistakenly attacking Pegasus’s mother twice at a children's party after encountering the Killer Cleaner. Kate Sumner, MI7's resident behavioral psychologist, uses hypnosis to help English recall his suppressed memory of the Mozambique incident, revealing that another Vortex operative, former Russian KGB and renegade MI7 associate spy Artem Karlenko, is posing as millionaire Sergei Pudovkin. English and Tucker meet Karlenko at a golf course outside London, but the Killer Cleaner critically injures him during their game. English and Tucker bring Karlenko to a hospital by helicopter, but he dies after revealing the third key is held by a mole in MI7. Over dinner, English confides with Ambrose about the mole, and Ambrose tells him that he suspects Quartermain. In the restaurant's toilets, Tucker confronts Ambrose about him being the traitor, but English naively dismisses Tucker, letting Ambrose go with Karlenko's key. English confronts Quartermain at a church, but realizes that he has been framed as the third Vortex member. Chased by MI7 agents, English manages to escape to Sumner's flat, after stealing Quartermain's heavily modified wheelchair. Reviewing footage of the Mozambique mission, Sumner sees that the assassin was manipulated by a supposedly-destroyed mind control drug, Timoxeline Barbebutenol. Ambrose comes to pick her up, and English realizes that he is the mole and third member of Vortex. Evading the Killer Cleaner by jumping down a rubbish chute, English goes to the flat where Tucker lives with his mother; English apologizes to Tucker and persuades him to join in infiltrating Le Bastion, a nigh-impregnable fortress in the Swiss Alps where the talks are to be held. At the fortress, English accidentally activates a distress beacon, alerting the guards to their presence. He commands Tucker to knock him out and put him inside a body bag, so that they will be taken into the fortress. Inside, English manages to escape the body bag and warns Pegasus of the threat, but accidentally consumes a drink spiked with the drug, and subdues Pegasus on Ambrose's command. Assigning English as the Prime Minister's bodyguard in place of Pegasus, Ambrose orders him to assassinate the Chinese Premier using a pistol disguised as lipstick, initially designed for Pegasus; thanks to his monastic training, English tries to resist the drug. Tucker interrupts Ambrose's communication feed with music before Ambrose resets it, exposing himself as the traitor. English resists again and shoots Ambrose, who escapes, while the drug enters its lethal stage and English loses consciousness. Sumner arrives and revives English with a passionate kiss. English pursues Ambrose down the mountainside, and they engage in a fistfight in a cable car. English overpowers Ambrose, but falls out of the carriage. Ambrose shoots at him, who tries to use his spy umbrella as a bulletproof shield, which is actually a missile launcher when he closes it. The missile destroys the carriage, killing Ambrose. Vortex is shut down and English has his knighthood reinstated by Her Majesty the Queen. During the ceremony, the Killer Cleaner, disguised as the Queen, attacks English with the knighting sword before fleeing, leading English to restrain the real Queen. He only realises his mistake when the assassin is caught by the royal guards and police. During the credits, English prepares dinner for Sumner to the tune of ""In the Hall of the Mountain King"".","Five years after the events of the first film, Johnny English has been training at a monastery in Tibet to recover from the shame of a failed mission to protect the newly elected president in Mozambique, which cost him his knighthood. Called back into service by MI7 under new director Pamela ""Pegasus"" Thornton, English must investigate an assassination plot of the Chinese Premier during talks with the Prime Minister of the United Kingdom. He meets fellow agent Simon Ambrose, MI7's quartermaster Patch Quartermain, and junior agent Colin Tucker, assigned to be his assistant. In Hong Kong, English finds former CIA agent Titus Fisher, a member of Vortex, the group responsible for sabotaging English's Mozambique mission. Vortex holds a secret weapon unlocked by three keys, held by himself and two others. Fisher is killed by an elderly assassin disguised as a cleaner, and an accomplice steals his key. English chases the thief and recovers the key, only for it to be stolen by a fake flight attendant en route to London. He is humiliated in a meeting with the Foreign Secretary and Pegasus when he attempts to present the key and the conspiracy. He compounds his disgrace by mistakenly attacking Pegasus’s mother twice at a children's party after encountering the Killer Cleaner. Kate Sumner, MI7's resident behavioral psychologist, uses hypnosis to help English recall his suppressed memory of the Mozambique incident, revealing that another Vortex operative, former Russian KGB and renegade MI7 associate spy Artem Karlenko, is posing as millionaire Sergei Pudovkin. English and Tucker meet Karlenko at a golf course outside London, but the Killer Cleaner critically injures him during their game. English and Tucker bring Karlenko to a hospital by helicopter, but he dies after revealing the third key is held by a mole in MI7. Over dinner, English confides with Ambrose about the mole, and Ambrose tells him that he suspects Quartermain. In the restaurant's toilets, Tucker confronts Ambrose about him being the traitor, but English naively dismisses Tucker, letting Ambrose go with Karlenko's key. English confronts Quartermain at a church, but realizes that he has been framed as the third Vortex member. Chased by MI7 agents, English manages to escape to Sumner's flat, after stealing Quartermain's heavily modified wheelchair. Reviewing footage of the Mozambique mission, Sumner sees that the assassin was manipulated by a supposedly-destroyed mind control drug, Timoxeline Barbebutenol. Ambrose comes to pick her up, and English realizes that he is the mole and third member of Vortex. Evading the Killer Cleaner by jumping down a rubbish chute, English goes to the flat where Tucker lives with his mother; English apologizes to Tucker and persuades him to join in infiltrating Le Bastion, a nigh-impregnable fortress in the Swiss Alps where the talks are to be held. At the fortress, English accidentally activates a distress beacon, alerting the guards to their presence. He commands Tucker to knock him out and put him inside a body bag, so that they will be taken into the fortress. Inside, English manages to escape the body bag and warns Pegasus of the threat, but accidentally consumes a drink spiked with the drug, and subdues Pegasus on Ambrose's command. Assigning English as the Prime Minister's bodyguard in place of Pegasus, Ambrose orders him to assassinate the Chinese Premier using a pistol disguised as lipstick, initially designed for Pegasus; thanks to his monastic training, English tries to resist the drug. Tucker interrupts Ambrose's communication feed with music before Ambrose resets it, exposing himself as the traitor. English resists again and shoots Ambrose, who escapes, while the drug enters its lethal stage and English loses consciousness. Sumner arrives and revives English with a passionate kiss. English pursues Ambrose down the mountainside, and they engage in a fistfight in a cable car. English overpowers Ambrose, but falls out of the carriage. Ambrose shoots at him, who tries to use his spy umbrella as a bulletproof shield, which is actually a missile launcher when he closes it. The missile destroys the carriage, killing Ambrose. Vortex is shut down and English has his knighthood reinstated by Her Majesty the Queen. During the ceremony, the Killer Cleaner, disguised as the Queen, attacks English with the knighting sword before fleeing, leading English to restrain the real Queen. He only realises his mistake when the assassin is caught by the royal guards and police. During the credits, English prepares dinner for Sumner to the tune of ""In the Hall of the Mountain King"". Comedies  "
Lucy,2014,"It was supposed to be a simple job. All Lucy had to do was deliver a mysterious briefcase to Mr. Jang. But immediately Lucy is caught up in a nightmarish deal where she is captured and turned into a drug mule for a new and powerful synthetic drug. When the bag she is carrying inside of her stomach leaks, Lucy's body undergoes unimaginable changes that begins to unlock her mind's full potential. With her new-found powers, Lucy turns into a merciless warrior intent on getting back at her captors. She receives invaluable help from Professor Norman, the leading authority on the human mind, and French police captain Pierre Del Rio.",['Action'],6.4,tt2872732,555435.0,[],[],['Action'],Action,[],,[],,"It was supposed to be a simple job. All Lucy had to do was deliver a mysterious briefcase to Mr. Jang. But immediately Lucy is caught up in a nightmarish deal where she is captured and turned into a drug mule for a new and powerful synthetic drug. When the bag she is carrying inside of her stomach leaks, Lucy's body undergoes unimaginable changes that begins to unlock her mind's full potential. With her new-found powers, Lucy turns into a merciless warrior intent on getting back at her captors. She receives invaluable help from Professor Norman, the leading authority on the human mind, and French police captain Pierre Del Rio.","It was supposed to be a simple job. All Lucy had to do was deliver a mysterious briefcase to Mr. Jang. But immediately Lucy is caught up in a nightmarish deal where she is captured and turned into a drug mule for a new and powerful synthetic drug. When the bag she is carrying inside of her stomach leaks, Lucy's body undergoes unimaginable changes that begins to unlock her mind's full potential. With her new-found powers, Lucy turns into a merciless warrior intent on getting back at her captors. She receives invaluable help from Professor Norman, the leading authority on the human mind, and French police captain Pierre Del Rio. Action  "
